task,id,trial,payoff_sure,payoff_risky,prob,choice,rt,pos
gamble,16,1,500,2260,0.4,risky,3.1954930769970815,rs
gamble,16,2,500,2340,0.5,risky,3.133670669001731,rs
gamble,16,3,500,1770,0.5,risky,1.8749471619994438,rs
gamble,16,4,500,970,0.3,sure,2.4902582739996433,rs
gamble,16,5,500,1080,0.5,sure,3.561472989000322,rs
gamble,16,6,500,1670,0.3,sure,4.317960603002575,sr
gamble,16,7,500,1490,0.3,sure,2.931308197999897,rs
gamble,16,8,500,3160,0.4,risky,3.984957332002523,sr
gamble,16,9,500,1340,0.3,sure,4.228163592000783,rs
gamble,16,10,500,870,0.4,sure,5.596907578998071,sr
gamble,16,11,500,760,0.5,sure,2.256125866999355,sr
gamble,16,12,500,990,0.4,sure,6.471868505999737,rs
gamble,16,13,500,1270,0.5,risky,2.984425815000577,rs
gamble,16,14,500,2540,0.3,risky,3.747244934998889,rs
gamble,16,15,500,1530,0.4,risky,6.143785591000778,rs
gamble,16,16,500,2180,0.3,risky,2.8132197720005934,sr
gamble,16,17,500,1060,0.4,sure,2.829918289997295,rs
gamble,16,18,500,2020,0.5,risky,2.1908164309970743,rs
gamble,16,19,500,4480,0.3,risky,5.114238114001637,rs
gamble,16,20,500,3010,0.3,risky,3.9843340730003547,sr
gamble,16,21,500,2650,0.4,risky,3.7801880719998735,rs
gamble,16,22,500,1890,0.3,sure,2.495139406000817,rs
gamble,16,23,500,1720,0.4,risky,8.092783760999737,sr
gamble,16,24,500,1220,0.3,sure,2.9877710929977184,sr
gamble,16,25,500,700,1.0,risky,2.1672785980008484,sr
gamble,16,26,500,5650,0.3,risky,4.882377048001217,rs
gamble,16,27,500,1410,0.5,risky,1.9054674969993357,rs
gamble,16,28,500,1150,0.4,risky,6.68047479300003,rs
gamble,16,29,500,1170,0.5,sure,5.711150084996916,sr
gamble,16,30,500,800,0.5,sure,1.9816609890003747,sr
gamble,16,31,500,880,0.5,sure,2.1283065829993575,rs
gamble,16,32,500,920,0.4,sure,2.5103942610003287,rs
gamble,16,33,500,7290,0.3,risky,2.251601371997822,rs
gamble,16,34,500,300,1.0,sure,1.6999285230012902,rs
gamble,16,35,500,3640,0.3,sure,4.002884517001803,rs
gamble,16,36,500,1000,0.5,risky,2.260319614000764,sr
gamble,16,37,500,840,0.5,sure,7.243945442001859,rs
gamble,16,38,500,730,0.5,sure,1.2766232460016909,rs
gamble,16,39,500,1250,0.4,risky,6.395463304997975,sr
gamble,16,40,500,1380,0.4,risky,3.2141674529993907,sr
gamble,16,41,500,940,0.5,sure,3.552433831999224,rs
gamble,16,42,500,1960,0.4,risky,5.093036067002686,rs
gamble,16,43,500,1040,0.3,sure,5.25946335000117,rs
gamble,16,44,500,1120,0.3,sure,2.0116735429983237,rs
gamble,16,45,500,830,0.4,sure,1.4201992429989332,rs
gamble,16,46,500,1570,0.5,risky,2.1340875280002365,sr
gamble,16,47,500,3840,0.4,risky,3.747241514000052,sr
