task,id,trial,payoff_sure,payoff_risky,prob,choice,rt,pos
gamble,19,1,500,1890,0.3,risky,6.109262634000061,sr
gamble,19,2,500,1060,0.4,sure,5.116126730000133,rs
gamble,19,3,500,1150,0.4,sure,3.93713892400001,rs
gamble,19,4,500,1080,0.5,sure,6.038597631999892,sr
gamble,19,5,500,1250,0.4,sure,2.535369520999893,rs
gamble,19,6,500,2650,0.4,risky,2.100899823999953,rs
gamble,19,7,500,3840,0.4,risky,2.196018037000158,sr
gamble,19,8,500,970,0.3,sure,3.1974281049999718,rs
gamble,19,9,500,1220,0.3,sure,2.8160000469999886,sr
gamble,19,10,500,1410,0.5,risky,6.450158100999943,sr
gamble,19,11,500,1960,0.4,risky,3.1071421680001095,sr
gamble,19,12,500,1000,0.5,sure,4.856781206000051,sr
gamble,19,13,500,4480,0.3,risky,2.1376942350000263,rs
gamble,19,14,500,2540,0.3,risky,2.887455098000146,rs
gamble,19,15,500,2260,0.4,risky,2.4369893980001507,rs
gamble,19,16,500,1770,0.5,risky,4.294803319000039,sr
gamble,19,17,500,760,0.5,sure,2.7659411380000165,sr
gamble,19,18,500,1720,0.4,risky,4.496583992000069,sr
gamble,19,19,500,1340,0.3,sure,2.1439463919998616,rs
gamble,19,20,500,3160,0.4,risky,4.6041830019999,rs
gamble,19,21,500,1120,0.3,sure,1.5104997759999605,rs
gamble,19,22,500,1040,0.3,sure,1.6285668620000706,sr
gamble,19,23,500,7290,0.3,risky,1.7409796959998403,sr
gamble,19,24,500,730,0.5,sure,2.8909200599998712,sr
gamble,19,25,500,990,0.4,sure,2.376810602999967,sr
gamble,19,26,500,800,0.5,sure,1.9958886150000126,rs
gamble,19,27,500,3010,0.3,risky,1.6144972070001131,sr
gamble,19,28,500,1380,0.4,sure,3.1196652479998193,sr
gamble,19,29,500,700,1.0,risky,2.453835116999926,sr
gamble,19,30,500,870,0.4,sure,1.926705175000052,sr
gamble,19,31,500,830,0.4,sure,3.1155640819999917,rs
gamble,19,32,500,840,0.5,sure,1.3934677869999632,sr
gamble,19,33,500,1270,0.5,risky,2.9225178110000343,rs
gamble,19,34,500,2180,0.3,risky,1.7205890119998912,sr
gamble,19,35,500,1530,0.4,risky,6.262141977000056,rs
gamble,19,36,500,2020,0.5,risky,2.911022313999865,rs
gamble,19,37,500,5650,0.3,risky,1.3246497100001307,rs
gamble,19,38,500,1570,0.5,sure,1.5137799619999441,sr
gamble,19,39,500,880,0.5,sure,3.087569983000094,rs
gamble,19,40,500,920,0.4,sure,1.8311708149999504,rs
gamble,19,41,500,1490,0.3,sure,9.119525500000009,sr
gamble,19,42,500,1170,0.5,sure,3.829854917000148,rs
gamble,19,43,500,3640,0.3,risky,2.063984666999886,rs
gamble,19,44,500,1670,0.3,sure,1.3109714009999607,rs
gamble,19,45,500,940,0.5,sure,2.6049682729999404,rs
gamble,19,46,500,2340,0.5,risky,1.670839178000051,sr
gamble,19,47,500,300,1.0,sure,1.6867638470000657,rs
