task,id,trial,payoff_sure,payoff_risky,prob,choice,rt,pos
gamble,61,1,500,970,0.3,sure,3.0262101299995265,rs
gamble,61,2,500,700,1.0,risky,2.0260106040004757,rs
gamble,61,3,500,1170,0.5,risky,2.8911887850008497,rs
gamble,61,4,500,1770,0.5,risky,3.0176938749973488,sr
gamble,61,5,500,3840,0.4,sure,3.77934952799842,sr
gamble,61,6,500,1380,0.4,sure,3.4227914910006803,sr
gamble,61,7,500,300,1.0,sure,1.6870736920027412,rs
gamble,61,8,500,1270,0.5,risky,3.606937699998525,rs
gamble,61,9,500,2020,0.5,risky,1.3688289799974882,rs
gamble,61,10,500,1060,0.4,sure,2.0824476790003246,rs
gamble,61,11,500,1040,0.3,sure,1.6023422270009178,rs
gamble,61,12,500,730,0.5,sure,2.995161716000439,rs
gamble,61,13,500,1490,0.3,sure,2.2868172929993307,rs
gamble,61,14,500,1960,0.4,sure,2.8035630019985547,sr
gamble,61,15,500,3160,0.4,risky,1.9584314130006533,sr
gamble,61,16,500,1220,0.3,sure,1.9295879189994594,rs
gamble,61,17,500,1890,0.3,sure,2.190350161999959,sr
gamble,61,18,500,920,0.4,sure,1.8973104809992947,sr
gamble,61,19,500,2260,0.4,risky,2.0628054960034206,sr
gamble,61,20,500,1080,0.5,sure,2.654668072998902,sr
gamble,61,21,500,990,0.4,sure,2.30977952199828,sr
gamble,61,22,500,840,0.5,risky,4.47616078899955,sr
gamble,61,23,500,1720,0.4,sure,2.698764125998423,rs
gamble,61,24,500,830,0.4,sure,3.2485229859994433,rs
gamble,61,25,500,2340,0.5,risky,1.5527742410013161,rs
gamble,61,26,500,1120,0.3,sure,1.3797763399998075,rs
gamble,61,27,500,880,0.5,risky,3.53568508600074,sr
gamble,61,28,500,4480,0.3,sure,2.45086233800248,rs
gamble,61,29,500,3010,0.3,sure,3.1868487290012126,sr
gamble,61,30,500,2540,0.3,sure,1.8936642869994103,rs
gamble,61,31,500,1340,0.3,sure,1.7401576369993563,rs
gamble,61,32,500,5650,0.3,risky,2.824343876000057,rs
gamble,61,33,500,1410,0.5,sure,4.297887302996969,rs
gamble,61,34,500,7290,0.3,risky,1.8388231659992016,sr
gamble,61,35,500,1150,0.4,sure,2.07179670700134,sr
gamble,61,36,500,760,0.5,sure,2.855233510999824,sr
gamble,61,37,500,940,0.5,risky,1.382026395000139,sr
gamble,61,38,500,1670,0.3,sure,1.6650211259984644,rs
gamble,61,39,500,1250,0.4,sure,4.015903491999779,sr
gamble,61,40,500,2650,0.4,risky,2.159863854001742,rs
gamble,61,41,500,1000,0.5,risky,2.4433796070006792,sr
gamble,61,42,500,1570,0.5,risky,2.090445723002631,sr
gamble,61,43,500,1530,0.4,sure,3.273000430999673,sr
gamble,61,44,500,3640,0.3,risky,2.135656487000233,rs
gamble,61,45,500,2180,0.3,risky,2.2122817510025925,sr
gamble,61,46,500,870,0.4,sure,1.5330292799990275,rs
gamble,61,47,500,800,0.5,sure,1.8094685590003792,sr
