task,id,trial,payoff_sure,payoff_risky,prob,choice,rt,pos
gamble,30,1,500,840,0.5,sure,1.7844275120005477,sr
gamble,30,2,500,1170,0.5,sure,1.3956309679997503,sr
gamble,30,3,500,5650,0.3,sure,2.525943823999114,sr
gamble,30,4,500,920,0.4,sure,2.2341328490001615,sr
gamble,30,5,500,760,0.5,sure,2.6435234359996684,rs
gamble,30,6,500,2020,0.5,sure,2.475890910000089,rs
gamble,30,7,500,1250,0.4,sure,3.530773856000451,rs
gamble,30,8,500,2650,0.4,sure,1.4561809019996872,rs
gamble,30,9,500,700,1.0,risky,1.897142370000438,sr
gamble,30,10,500,2180,0.3,sure,1.5032342080012313,sr
gamble,30,11,500,2260,0.4,sure,1.2852142940009799,rs
gamble,30,12,500,1270,0.5,sure,2.387920518000101,sr
gamble,30,13,500,2540,0.3,sure,1.415894968999055,sr
gamble,30,14,500,7290,0.3,risky,1.648754263000228,rs
gamble,30,15,500,3640,0.3,sure,1.1371154019998357,rs
gamble,30,16,500,1770,0.5,sure,1.3172589949990652,sr
gamble,30,17,500,3010,0.3,sure,0.8193855510016874,sr
gamble,30,18,500,1000,0.5,sure,1.205750666998938,sr
gamble,30,19,500,1530,0.4,sure,0.8232432559998415,sr
gamble,30,20,500,800,0.5,sure,1.2406625390012778,sr
gamble,30,21,500,1040,0.3,risky,0.9213816550000047,rs
gamble,30,22,500,1080,0.5,sure,2.2152815280005598,sr
gamble,30,23,500,300,1.0,sure,1.6010550030005106,sr
gamble,30,24,500,1060,0.4,sure,1.8430219930014573,rs
gamble,30,25,500,4480,0.3,sure,1.8363197020007647,sr
gamble,30,26,500,1490,0.3,sure,1.5078110040012689,rs
gamble,30,27,500,1120,0.3,sure,1.0987698210010421,rs
gamble,30,28,500,1220,0.3,sure,1.0882955409997521,rs
gamble,30,29,500,1340,0.3,sure,0.9674012819996278,sr
gamble,30,30,500,870,0.4,sure,1.2833314500003326,rs
gamble,30,31,500,1960,0.4,sure,2.1137919720003993,rs
gamble,30,32,500,1720,0.4,sure,0.9279287900008057,rs
gamble,30,33,500,1670,0.3,sure,0.9079773619996558,sr
gamble,30,34,500,3840,0.4,sure,1.8653933389996382,rs
gamble,30,35,500,1410,0.5,sure,3.249643373001163,sr
gamble,30,36,500,940,0.5,sure,1.362624147999668,sr
gamble,30,37,500,990,0.4,sure,1.0215554009992047,rs
gamble,30,38,500,1150,0.4,sure,0.8224190419987281,rs
gamble,30,39,500,970,0.3,sure,0.7924314690008032,sr
gamble,30,40,500,730,0.5,sure,0.890540365000561,rs
gamble,30,41,500,1380,0.4,sure,0.6979442629999539,sr
gamble,30,42,500,880,0.5,sure,0.8156378300009237,rs
gamble,30,43,500,1570,0.5,sure,1.392977941000936,sr
gamble,30,44,500,3160,0.4,sure,1.019282227000076,rs
gamble,30,45,500,830,0.4,sure,0.7576699279998138,rs
gamble,30,46,500,1890,0.3,sure,1.2730148099999496,rs
gamble,30,47,500,2340,0.5,sure,1.4966479179984162,sr
