task,id,trial,payoff_sure,payoff_risky,prob,choice,rt,pos
gamble,47,1,500,1670,0.3,sure,5.552457795000009,sr
gamble,47,2,500,1960,0.4,sure,6.0043711240004995,sr
gamble,47,3,500,940,0.5,risky,2.3113045689997307,sr
gamble,47,4,500,2180,0.3,sure,4.332972702000006,sr
gamble,47,5,500,1220,0.3,sure,1.7941386410002451,sr
gamble,47,6,500,990,0.4,sure,4.316348588999972,rs
gamble,47,7,500,1490,0.3,sure,1.8259018859998832,rs
gamble,47,8,500,5650,0.3,sure,4.459178160000192,sr
gamble,47,9,500,1150,0.4,sure,3.530713850000211,sr
gamble,47,10,500,760,0.5,sure,3.631936445000065,sr
gamble,47,11,500,2260,0.4,risky,3.85659279399988,sr
gamble,47,12,500,920,0.4,sure,4.455829187000745,sr
gamble,47,13,500,3010,0.3,sure,4.04030004300057,sr
gamble,47,14,500,2340,0.5,risky,2.0723708940004144,sr
gamble,47,15,500,1170,0.5,sure,2.679694150000614,rs
gamble,47,16,500,3840,0.4,sure,5.357880267000837,rs
gamble,47,17,500,4480,0.3,sure,2.457611576999625,rs
gamble,47,18,500,700,1.0,risky,2.1532024600001023,sr
gamble,47,19,500,1530,0.4,sure,4.18153693199929,sr
gamble,47,20,500,870,0.4,sure,1.6166354139995747,rs
gamble,47,21,500,1380,0.4,sure,3.9854908409997734,sr
gamble,47,22,500,1060,0.4,sure,4.035991980999825,rs
gamble,47,23,500,1720,0.4,sure,3.8112700809997477,rs
gamble,47,24,500,840,0.5,sure,2.7969473020002624,sr
gamble,47,25,500,1340,0.3,sure,5.135522090999984,sr
gamble,47,26,500,830,0.4,sure,1.5074047420002898,sr
gamble,47,27,500,1270,0.5,sure,4.360272810000424,sr
gamble,47,28,500,7290,0.3,sure,1.6430946419995962,rs
gamble,47,29,500,2540,0.3,sure,2.987806670000282,sr
gamble,47,30,500,1040,0.3,sure,1.9093829169996752,rs
gamble,47,31,500,1570,0.5,risky,2.586907393999354,rs
gamble,47,32,500,1120,0.3,sure,1.717031033999774,rs
gamble,47,33,500,2020,0.5,risky,2.625842862999889,rs
gamble,47,34,500,300,1.0,sure,1.6740122220007834,sr
gamble,47,35,500,3160,0.4,sure,2.4403025450001223,sr
gamble,47,36,500,1890,0.3,sure,1.2888152769992303,sr
gamble,47,37,500,1000,0.5,sure,1.589327097000023,rs
gamble,47,38,500,800,0.5,sure,1.1440595029998804,rs
gamble,47,39,500,730,0.5,sure,1.275321608000013,sr
gamble,47,40,500,1250,0.4,sure,4.01003350100018,rs
gamble,47,41,500,970,0.3,sure,1.5142253039994102,sr
gamble,47,42,500,3640,0.3,sure,2.863680112000111,rs
gamble,47,43,500,1770,0.5,risky,6.718572365,rs
gamble,47,44,500,2650,0.4,sure,3.1397202149992154,sr
gamble,47,45,500,1410,0.5,risky,6.2469075969993355,sr
gamble,47,46,500,880,0.5,sure,1.7749323929992897,sr
gamble,47,47,500,1080,0.5,sure,2.1700730290003776,rs
