task,id,trial,payoff_sure,payoff_risky,prob,choice,rt,pos
gamble,24,1,500,2180,0.3,sure,2.460826429000008,sr
gamble,24,2,500,1380,0.4,risky,1.2291332499989949,rs
gamble,24,3,500,1570,0.5,risky,2.7978484600025695,rs
gamble,24,4,500,800,0.5,sure,2.7206834240023454,rs
gamble,24,5,500,3160,0.4,risky,2.4373587999980373,sr
gamble,24,6,500,870,0.4,sure,3.462890367001819,rs
gamble,24,7,500,2340,0.5,risky,2.2870471050009655,rs
gamble,24,8,500,300,1.0,sure,1.509749147000548,sr
gamble,24,9,500,830,0.4,sure,3.227695969002525,rs
gamble,24,10,500,1080,0.5,sure,2.829080913998041,rs
gamble,24,11,500,1490,0.3,sure,2.3171874929976184,rs
gamble,24,12,500,2020,0.5,sure,2.2266038529996877,rs
gamble,24,13,500,1250,0.4,sure,1.804652120998071,rs
gamble,24,14,500,880,0.5,sure,1.4297037249998539,rs
gamble,24,15,500,730,0.5,sure,1.80743454000185,sr
gamble,24,16,500,1720,0.4,sure,2.633651293999719,sr
gamble,24,17,500,1890,0.3,sure,1.7943900039972505,sr
gamble,24,18,500,5650,0.3,risky,1.6285629730009532,sr
gamble,24,19,500,920,0.4,sure,1.1498336010008643,sr
gamble,24,20,500,1770,0.5,risky,1.8896724389996962,rs
gamble,24,21,500,3010,0.3,risky,4.328780289000861,sr
gamble,24,22,500,990,0.4,sure,1.1823391979996813,sr
gamble,24,23,500,1150,0.4,sure,1.3773269689991139,rs
gamble,24,24,500,3640,0.3,risky,1.820263514000544,sr
gamble,24,25,500,1410,0.5,risky,2.2134074319983483,sr
gamble,24,26,500,2650,0.4,risky,1.3758689189999131,rs
gamble,24,27,500,840,0.5,sure,0.9388078890006,rs
gamble,24,28,500,970,0.3,sure,1.0800965140006156,rs
gamble,24,29,500,1670,0.3,sure,1.8546354489990335,rs
gamble,24,30,500,1530,0.4,sure,2.150711100999615,rs
gamble,24,31,500,700,1.0,risky,1.5876671099977102,rs
gamble,24,32,500,3840,0.4,risky,1.8466724530007923,sr
gamble,24,33,500,1040,0.3,sure,2.6700938979993225,rs
gamble,24,34,500,7290,0.3,risky,1.2383430860027147,rs
gamble,24,35,500,1170,0.5,sure,1.9267083769991586,sr
gamble,24,36,500,1220,0.3,risky,1.5804023939999752,sr
gamble,24,37,500,4480,0.3,risky,1.4397236770018935,rs
gamble,24,38,500,2260,0.4,sure,2.6798452399998496,rs
gamble,24,39,500,1000,0.5,sure,1.9345136450028804,sr
gamble,24,40,500,940,0.5,sure,1.5080668819973653,sr
gamble,24,41,500,760,0.5,sure,1.4669230149993382,rs
gamble,24,42,500,1340,0.3,sure,1.2653824469998654,rs
gamble,24,43,500,1270,0.5,sure,1.1058490770010394,sr
gamble,24,44,500,2540,0.3,risky,1.4632772219993058,sr
gamble,24,45,500,1120,0.3,sure,1.5357668040014687,rs
gamble,24,46,500,1060,0.4,risky,0.9316656619994319,rs
gamble,24,47,500,1960,0.4,sure,2.897247332999541,sr
