task,id,trial,payoff_sure,payoff_risky,prob,choice,rt,pos
gamble,28,1,500,1270,0.5,risky,2.4430775189998712,rs
gamble,28,2,500,2180,0.3,sure,2.4906934760001604,rs
gamble,28,3,500,1380,0.4,risky,2.025641379999797,sr
gamble,28,4,500,3640,0.3,risky,1.098162456999944,rs
gamble,28,5,500,1770,0.5,risky,1.008991982000225,sr
gamble,28,6,500,1250,0.4,risky,2.0738932720000776,rs
gamble,28,7,500,3840,0.4,risky,1.1287563000000773,sr
gamble,28,8,500,1120,0.3,sure,1.6934828710000147,rs
gamble,28,9,500,2260,0.4,risky,1.1959456439999485,rs
gamble,28,10,500,840,0.5,sure,1.5984220149998691,rs
gamble,28,11,500,1670,0.3,sure,2.1928227519997563,rs
gamble,28,12,500,1490,0.3,sure,2.219159987999774,sr
gamble,28,13,500,920,0.4,risky,0.9003881960002218,sr
gamble,28,14,500,1000,0.5,risky,1.5385787999998684,sr
gamble,28,15,500,760,0.5,sure,2.373858587000086,rs
gamble,28,16,500,1150,0.4,risky,4.249091115000283,sr
gamble,28,17,500,1960,0.4,risky,0.8171850170001562,sr
gamble,28,18,500,3160,0.4,risky,1.2502942449996226,rs
gamble,28,19,500,2020,0.5,risky,1.2658883909998622,rs
gamble,28,20,500,1890,0.3,risky,2.5601707410000927,rs
gamble,28,21,500,1530,0.4,risky,1.5319609739999578,rs
gamble,28,22,500,880,0.5,sure,1.679713917999834,sr
gamble,28,23,500,730,0.5,risky,0.8458906269997897,rs
gamble,28,24,500,700,1.0,risky,2.284853034000207,rs
gamble,28,25,500,990,0.4,sure,1.7629377650000606,rs
gamble,28,26,500,1040,0.3,sure,1.6932184520001101,rs
gamble,28,27,500,300,1.0,sure,2.3950867359999393,sr
gamble,28,28,500,1570,0.5,risky,1.292411137000272,rs
gamble,28,29,500,1080,0.5,risky,3.689159775999997,sr
gamble,28,30,500,1410,0.5,risky,1.0149730319999435,sr
gamble,28,31,500,2540,0.3,risky,1.2316919730001246,sr
gamble,28,32,500,940,0.5,sure,1.1501092070002414,rs
gamble,28,33,500,1170,0.5,sure,2.7213616619997083,sr
gamble,28,34,500,5650,0.3,risky,1.3494868099996893,rs
gamble,28,35,500,830,0.4,sure,2.2241000689996326,rs
gamble,28,36,500,870,0.4,sure,0.9357756309996148,rs
gamble,28,37,500,1060,0.4,sure,3.0587466179999865,rs
gamble,28,38,500,7290,0.3,risky,1.5130923700003223,sr
gamble,28,39,500,800,0.5,sure,1.3409558489997835,sr
gamble,28,40,500,3010,0.3,risky,0.919112676000168,sr
gamble,28,41,500,2650,0.4,risky,1.2196265480001784,sr
gamble,28,42,500,2340,0.5,risky,1.1235808169999473,sr
gamble,28,43,500,1220,0.3,sure,1.431444742000167,rs
gamble,28,44,500,970,0.3,sure,1.1829341120001118,sr
gamble,28,45,500,1340,0.3,risky,2.3356863899998643,rs
gamble,28,46,500,4480,0.3,risky,1.2831411790002676,sr
gamble,28,47,500,1720,0.4,risky,1.3932507920003445,sr
