task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group,37,1,post,-3,64,clockwise,anticlockwise,wrong,1.379206964000332,ca,940,0,500,group,0.8341216810003971,gs,2.0,1.303306084999349,4,"[(4, 0.00035550100074033253), (3, 0.808183557999655), (2, 1.0641722199998185), (2, 1.3041545619998942)]",0.48728908487603906
group,37,2,post,3,64,clockwise,clockwise,correct,1.0145375930005684,ca,1270,-10,500,group,0.5643661930007511,gs,3.0,1.3959171360002074,4,"[(4, 0.0004781009993166663), (3, 0.9650437669988605), (3, 1.3967580680000538)]",0.5755096571267699
group,37,3,post,-3,16,clockwise,anticlockwise,wrong,2.1154914700000518,ca,940,0,500,group,0.6454015929994057,gs,4.0,1.233845537999514,5,"[(5, 0.0004909680010314332), (4, 0.8508846559998346), (4, 1.2347031669996795)]",0.48397129662764526
group,37,4,post,-3,32,anticlockwise,anticlockwise,correct,1.8286428259998502,ac,640,-10,500,group,1.8411720260010043,gs,4.0,1.4859141380002256,6,"[(6, 0.00047496400111413095), (5, 0.6069708160011942), (4, 1.1507205409998278), (4, 1.4868772059999174)]",0.5847041302807396
group,37,5,pre,-3,8,anticlockwise,anticlockwise,correct,0.897812993000116,ac,590,10,500,group,2.293258962999971,sg,6.0,1.587340039000992,2,"[(2, 0.0005272150010569021), (3, 0.9163487990008434), (4, 1.0922814299992751), (5, 1.2681095759999153), (6, 1.412321047999285), (6, 1.5882157039995946)]",0.47760599011815047
group,37,6,post,-3,8,anticlockwise,anticlockwise,correct,4.621439112999724,ca,940,-10,500,group,1.788575034999667,gs,4.0,1.1795925380010885,6,"[(6, 0.0004897540002275491), (5, 0.636652787001367), (4, 0.9084830190004141), (4, 1.180331785000817)]",0.4303824526312512
group,37,7,post,3,32,clockwise,clockwise,correct,0.9904821689997334,ca,1270,0,500,solo,0.68680651700015,sg,2.0,1.3054344949996448,1,"[(1, 0.00048260699986713007), (2, 0.9863373259995569), (2, 1.3064226179994876)]",0.599188713514737
group,37,8,post,3,16,clockwise,clockwise,correct,1.0062257920017146,ca,700,0,500,group,0.9566370640004607,sg,3.0,0.8929520069996215,1,"[(1, 0.0004991219993826235), (2, 0.5417782879994775), (3, 0.7176779399997031), (3, 0.8938791829987167)]",0.4413545330738811
group,37,9,post,3,8,clockwise,clockwise,correct,1.7905145320000884,ac,850,0,500,solo,0.8949728150000738,sg,6.0,0.8324231660008081,6,"[(6, 0.0005188389986869879), (6, 0.3532272010015731), (6, 0.8333466640015104)]",0.5065735993953965
group,37,10,pre,3,64,clockwise,clockwise,correct,3.157793860000311,ca,850,-10,500,group,1.7629090459995496,gs,3.0,1.9969544360010332,5,"[(5, 0.0005135560004418949), (4, 1.2459196489999158), (3, 1.5178698170002463), (3, 1.9976708689991938)]",0.456737754904436
group,37,11,post,-3,32,anticlockwise,anticlockwise,correct,1.0448193560005166,ac,1150,10,500,solo,0.530211868999686,sg,4.0,1.8264371510013007,5,"[(5, 0.0004900820003967965), (4, 0.4675467109991587), (5, 0.9633801169984508), (6, 1.1874472229992534), (5, 1.4434583459988062), (4, 1.683361874998809), (4, 1.827233759999217)]",0.48161151324014817
group,37,12,post,3,8,clockwise,clockwise,correct,0.7360498729995015,ac,770,10,500,solo,1.1932361389990547,gs,4.0,1.2476866039996821,2,"[(2, 0.0004891880016657524), (3, 0.6086799380009325), (4, 0.816733273999489), (4, 1.2485757030008244)]",0.4897292059190621
group,37,13,post,-3,16,clockwise,anticlockwise,wrong,1.0599789139996574,ca,1150,10,500,group,1.1835814910009503,sg,1.0,1.639299469999969,3,"[(3, 0.0005036810016463278), (2, 1.0803670060013246), (1, 1.3844282760001079), (1, 1.6402223790009884)]",0.5159867172534586
group,37,14,post,-3,64,clockwise,anticlockwise,wrong,1.1980062660004478,ac,700,-10,500,group,1.1728051410009357,sg,3.0,2.0925404350000463,5,"[(5, 0.000487355000586831), (4, 0.9896138549993339), (3, 1.7095001180005056), (3, 2.0934920399995463)]",0.46565367706482036
group,37,15,post,3,16,clockwise,clockwise,correct,1.1177642549992015,ca,640,-10,500,group,0.887933965999764,sg,5.0,2.6832227449995116,1,"[(1, 0.0006048489995009732), (2, 1.0999594669992803), (3, 1.5641284470002574), (4, 1.772331390000545), (5, 1.9640358199994807), (5, 2.684085872000651)]",0.525801308846056
group,37,16,post,3,32,clockwise,clockwise,correct,8.836099345999173,ca,590,-10,500,group,1.3542632520002371,sg,3.0,1.1465211070008081,6,"[(6, 0.0004781779989571078), (5, 0.475490663000528), (4, 0.7474769550008205), (3, 0.9395107790005568), (3, 1.1472448650001752)]",0.5638166427844695
group,37,17,post,3,64,anticlockwise,clockwise,wrong,1.0935277680000581,ac,590,0,500,group,1.537866259999646,gs,2.0,3.241957985999761,1,"[(1, 0.000525621999258874), (2, 0.44314428199868416), (1, 1.0028595909989235), (2, 2.2829715560001205), (1, 2.5389659859993117), (2, 2.9549212049987545), (2, 3.24281967800016)]",0.41730954200936093
group,37,18,post,-3,8,anticlockwise,anticlockwise,correct,2.225401941999735,ac,1400,-10,500,solo,0.8793757460007328,gs,6.0,0.8821535179995408,5,"[(5, 0.00048551200052315835), (6, 0.627287659999638), (6, 0.883206815999074)]",0.4453818658853775
group,37,19,post,-3,64,clockwise,anticlockwise,wrong,1.030478740000035,ca,850,0,500,group,0.7881837450004241,sg,4.0,0.8584854649998306,2,"[(2, 0.0005022990008001216), (3, 0.5074364009997225), (4, 0.6834854160006216), (4, 0.8592440000011266)]",0.47911719288697335
group,37,20,post,-3,16,anticlockwise,anticlockwise,correct,2.588695946000371,ca,1270,0,500,solo,0.9719235970005684,gs,4.0,1.6282074280006782,6,"[(6, 0.0005065459990873933), (5, 0.8929577239996433), (4, 1.405001416000232), (4, 1.6289272839985642)]",0.5520531216146672
group,37,21,post,3,32,clockwise,clockwise,correct,4.821661838001091,ca,640,10,500,group,2.092342990999896,gs,3.0,0.8147642219992122,4,"[(4, 0.0004778910006280057), (3, 0.3679220659996645), (3, 0.8155825280009594)]",0.4028728099313455
group,37,22,pre,-3,32,anticlockwise,anticlockwise,correct,1.3848273269995843,ac,1150,-10,500,solo,2.7192873710009735,sg,3.0,1.3510607309999614,5,"[(5, 0.0004817970002477523), (4, 0.7919061960001272), (3, 1.0320158419999643), (3, 1.3518733520013484)]",0.5156334971671424
group,37,23,post,3,64,anticlockwise,clockwise,wrong,2.023729476999506,ac,700,0,500,group,1.3415316350001376,gs,2.0,1.6936290600006032,3,"[(3, 0.00048029299978225026), (4, 0.6706977169997117), (3, 1.2787365929998487), (2, 1.5027059809999628), (2, 1.6944908650002617)]",0.5354175602483775
group,37,24,post,3,16,clockwise,clockwise,correct,1.1219828560006135,ac,1040,-10,500,solo,0.8448534709987143,gs,6.0,1.1849056400005793,5,"[(5, 0.0005327190010575578), (4, 0.498044015999767), (5, 0.7377555479997682), (6, 0.9459526979990187), (6, 1.1857550269996864)]",0.4666263251658026
group,37,25,post,-3,8,anticlockwise,anticlockwise,correct,1.9590859199997794,ac,770,-10,500,group,1.054861778000486,gs,5.0,1.3718399849985872,4,"[(4, 0.00047156999971775804), (5, 0.8127073729992844), (5, 1.3727952769986587)]",0.528872086987145
group,37,26,post,3,8,clockwise,clockwise,correct,0.9859987319996435,ca,1040,0,500,solo,0.7295892120000644,gs,4.0,1.5543874599989067,3,"[(3, 0.00048494499969820026), (4, 0.4514633409999078), (3, 0.7553786329990544), (4, 1.187340079999558), (4, 1.5553216560001601)]",0.5313205590768191
group,37,27,post,-3,32,clockwise,anticlockwise,wrong,1.3245168909998029,ac,850,10,500,group,1.2622379869990255,sg,1.0,1.4579397770012292,6,"[(6, 0.00048397399950772524), (5, 0.5309555320000072), (4, 0.722714157000155), (3, 0.8988032130000647), (2, 1.059975359999953), (1, 1.202797713000109), (1, 1.458806091999577)]",0.47282938950389297
group,37,28,post,3,16,clockwise,clockwise,correct,1.1849996150012885,ca,1150,-10,500,solo,0.5206630939992465,sg,5.0,1.1144539510005416,6,"[(6, 0.0006291090012382483), (6, 0.3153288920002524), (5, 0.6675206660002004), (5, 1.1153698979996989)]",0.4287796080616034
group,37,29,post,-3,32,anticlockwise,anticlockwise,correct,1.4959350040007848,ca,590,10,500,group,0.7550995740002691,sg,3.0,1.0666180690004694,6,"[(6, 0.00047117300164245535), (5, 0.44369550199917285), (4, 0.6514001779996761), (3, 0.8275817110006756), (3, 1.0674600349993852)]",0.40847904360292375
group,37,30,post,-3,16,anticlockwise,anticlockwise,correct,1.2907787009989988,ca,1400,0,500,solo,0.5422695349989226,sg,4.0,0.878726329001438,5,"[(5, 0.0004843140013690572), (4, 0.6397823280003649), (4, 0.8797592760001862)]",0.40127152345676886
group,37,31,post,-3,64,anticlockwise,anticlockwise,correct,2.080807948999791,ca,550,10,500,group,1.956073285000457,gs,4.0,0.940229432999331,6,"[(6, 0.000511988999278401), (5, 0.4933303559992055), (4, 0.7171401549985603), (4, 0.9411158089988021)]",0.5293625828109785
