task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group,12,1,post,-3,64,anticlockwise,anticlockwise,correct,1.5338663880011154,ca,640,0,500,solo,2.34223518699946,sg,4.0,3.614826274999359,1,"[(1, 0.00037216400050965603), (2, 1.5516993399996863), (3, 1.9837010779992852), (4, 2.6077713609993225), (4, 3.615686975999779)]",0.4558145450420769
group,12,2,post,-3,16,clockwise,anticlockwise,wrong,2.7416345330002514,ca,1040,0,500,solo,0.927254049000112,sg,6.0,3.712527695999597,4,"[(4, 0.00048372699893661775), (5, 1.3134341219993075), (6, 3.1694070249996003), (6, 3.7135472770005435)]",0.5017010408084892
group,12,3,pre,3,32,clockwise,clockwise,correct,2.0497155009998096,ac,590,10,500,solo,1.824625831000958,gs,3.0,3.671159171999534,1,"[(1, 0.00048377600069215987), (2, 2.056143454001358), (3, 2.744089514000734), (3, 3.672015538000778)]",0.42433211515312597
group,12,4,post,3,64,clockwise,clockwise,correct,1.8059898700012127,ca,1040,-10,500,solo,0.9250746030011214,sg,3.0,4.269933787001719,2,"[(2, 0.0004785309993167175), (1, 2.510728741001003), (2, 3.3588878059999843), (3, 3.822799728000973), (3, 4.270958229000826)]",0.4201413262320258
group,12,5,post,-3,8,anticlockwise,anticlockwise,correct,1.2889883059997373,ac,770,10,500,solo,1.8686633370016352,gs,5.0,3.7676800379995257,1,"[(1, 0.0005035160011175321), (2, 1.3367321440000524), (3, 1.9926291629999469), (4, 2.5846199469997373), (5, 3.0645441100004973), (5, 3.768558273999588)]",0.5345245420031728
group,12,6,post,-3,32,anticlockwise,anticlockwise,correct,1.493029662000481,ca,700,10,500,solo,2.4642528269996546,gs,2.0,5.171986430001198,3,"[(3, 0.00047460499990847893), (4, 1.8932035790003283), (3, 2.9011885700001585), (2, 4.181090320000294), (2, 5.173445024000102)]",0.5785708792897992
group,12,7,post,3,8,clockwise,clockwise,correct,2.220047771999816,ac,500,-10,500,group,3.0989150509994943,gs,5.0,5.780907336999007,1,"[(1, 0.0004942039995512459), (2, 0.8697206919987366), (3, 1.6218433089998143), (2, 2.0699016679991473), (3, 2.5498992149987316), (4, 3.0617850679991534), (3, 3.57388156900015), (2, 3.8778104329994676), (3, 4.597771869999633), (4, 4.885730019999755), (5, 5.173868500000026), (5, 5.781800533999558)]",0.49146918443769794
group,12,8,post,3,16,clockwise,clockwise,correct,0.9683743249988765,ac,700,-10,500,solo,2.583704916998613,gs,3.0,3.255010566999772,4,"[(4, 0.0004845769999519689), (3, 0.9201582460009377), (3, 3.2559526540007937)]",0.4343842406822976
group,12,9,post,3,32,clockwise,clockwise,correct,1.017390389000866,ca,1040,-10,500,solo,1.0480361910013016,gs,5.0,3.3328386020002654,2,"[(2, 0.0005092149986012373), (3, 1.5735276989998965), (4, 2.2456475350008986), (5, 2.677732210000613), (5, 3.3336645620001946)]",0.5473464363483548
group,12,10,post,-3,8,anticlockwise,anticlockwise,correct,2.2309344009991037,ac,590,-10,500,solo,1.2691656570004852,sg,2.0,1.8642126920003648,4,"[(4, 0.0004945000000589062), (3, 0.6811521929994342), (2, 1.2251871289990959), (2, 1.8650536969998939)]",0.46511101661564114
group,12,11,post,-3,64,clockwise,anticlockwise,wrong,0.9674818309995317,ca,700,10,500,solo,1.6399422859994957,gs,1.0,2.0924900219997653,5,"[(5, 0.0004969300007360289), (4, 0.5898926730005769), (3, 0.9097133870000107), (2, 1.2457345620005071), (1, 1.5498284540008171), (1, 2.0937325920003786)]",0.4382058965158424
group,12,12,post,-3,32,anticlockwise,anticlockwise,correct,1.5050644319999265,ca,940,0,500,solo,1.547373104000144,sg,5.0,2.2758478129999276,2,"[(2, 0.0005001890003768494), (3, 0.5969385320004221), (4, 1.1247583250005846), (5, 1.5568531420012732), (5, 2.2767512280006486)]",0.45740634735622193
group,12,13,post,3,64,clockwise,clockwise,correct,1.5162850599990634,ac,1400,0,500,solo,1.8777315959996486,gs,2.0,4.448651766999319,3,"[(3, 0.0004894950016023358), (4, 1.9215198590009095), (3, 3.9216972020003595), (2, 4.145603096001651), (2, 4.449524925001242)]",0.5845112947397464
group,12,14,post,3,8,clockwise,clockwise,correct,1.8135833060005098,ac,1400,-10,500,solo,1.0115599170003406,sg,5.0,2.289385873000356,2,"[(2, 0.0004754670007969253), (3, 1.0264248559997213), (4, 1.426361170999371), (5, 1.8422933969995938), (5, 2.290256509999381)]",0.5224143393427135
group,12,15,post,-3,16,anticlockwise,anticlockwise,correct,0.905671741000333,ca,940,-10,500,solo,1.067815727001289,gs,2.0,2.487964001000364,1,"[(1, 0.0004774729986820603), (2, 1.6889473110004474), (2, 2.4888199609995354)]",0.5744180564099735
group,12,16,pre,-3,32,clockwise,anticlockwise,wrong,1.5461912439986918,ac,770,-10,500,solo,1.8751633869997022,sg,2.0,2.242772978001085,4,"[(4, 0.00047435400119866244), (3, 1.0597824529995705), (2, 1.699737176999406), (2, 2.2436011179997877)]",0.5995563620879892
group,12,17,post,3,32,clockwise,clockwise,correct,1.390446552000867,ca,700,10,500,solo,4.205863244000284,sg,5.0,2.7324775439992663,4,"[(4, 0.0005020960015826859), (5, 2.029594861000078), (5, 2.733334377000574)]",0.5320310050128468
group,12,18,post,3,16,clockwise,clockwise,correct,1.5106260510001448,ac,500,10,500,solo,4.608349611000449,sg,2.0,2.877969385999677,3,"[(3, 0.0004825670002901461), (2, 1.2150911790013197), (2, 2.8788946740005485)]",0.48650086756522687
group,12,19,post,3,64,clockwise,clockwise,correct,1.9357115290004003,ac,590,10,500,solo,2.0573900689996663,sg,1.0,4.205847072998949,2,"[(2, 0.00048072799836518243), (3, 2.014821189999566), (2, 3.2308495369998127), (1, 3.8867911829984223), (1, 4.206866062999325)]",0.5653288297690485
group,12,20,post,3,16,clockwise,clockwise,correct,0.9431916830017144,ca,1400,10,500,solo,0.9594219779992272,gs,5.0,2.127463105998686,2,"[(2, 0.00048023599993030075), (3, 0.6403933729998244), (4, 1.2003486060002615), (5, 1.6003352419993462), (5, 2.128334687999086)]",0.4250237288375209
group,12,21,post,-3,32,clockwise,anticlockwise,wrong,1.5826619139988907,ca,640,-10,500,solo,3.2223615719994996,gs,2.0,5.051287832000526,4,"[(4, 0.00048600399895804003), (5, 2.796316627998749), (4, 3.3241620310000144), (3, 3.868145447999268), (2, 4.284234558999742), (2, 5.052032513998711)]",0.5712223248991092
group,12,22,post,-3,16,anticlockwise,anticlockwise,correct,1.1145123579990468,ca,640,10,500,solo,1.780451823000476,gs,2.0,2.499475498998436,6,"[(6, 0.0004883040001004701), (5, 0.6284715170004347), (4, 1.0604516300008981), (3, 1.4764891089998855), (2, 1.8764004640015628), (2, 2.500211135000427)]",0.46253130020103006
