task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group,56,1,pre,-3,32,anticlockwise,anticlockwise,correct,0.8729848909988505,ca,770,0,500,solo,4.505493132999618,gs,1.0,2.0767799919995014,1,"[(1, 0.00036034799995832145), (1, 2.0777371509993827)]",0.5889291830214305
group,56,2,post,-3,64,clockwise,anticlockwise,wrong,0.7814189509990683,ac,940,10,500,solo,3.5885175229996094,sg,2.0,1.5791136240004562,3,"[(3, 0.0004773940017912537), (2, 1.3081483950008987), (2, 1.5799380370008294)]",0.5798993862894716
group,56,3,post,-3,8,anticlockwise,anticlockwise,correct,1.022296944000118,ca,700,10,500,solo,1.8687149819998012,sg,2.0,0.9045019630011666,2,"[(2, 0.00048095499914779793), (2, 0.9055513179991976)]",0.5913095979764702
group,56,4,post,3,32,anticlockwise,clockwise,wrong,1.789995547998842,ac,1400,-10,500,solo,0.8618676879996201,sg,4.0,2.9291261680009484,3,"[(3, 0.0005049949995736824), (4, 2.2740722360013024), (4, 2.929770587001258)]",0.42701665338314876
group,56,5,post,3,16,clockwise,clockwise,correct,2.0532489489996806,ca,850,-10,500,group,1.4982464750009967,sg,4.0,2.5477241129992763,6,"[(6, 0.0004863659996772185), (5, 1.6688223499986634), (4, 1.9568156789991917), (4, 2.548444419999214)]",0.42609353997959254
group,56,6,post,-3,32,anticlockwise,anticlockwise,correct,1.0325450879990967,ca,550,0,500,group,2.7418241989998933,gs,3.0,2.670526625999628,5,"[(5, 0.000474050999400788), (4, 1.6314107190009963), (3, 2.335580688000846), (3, 2.6714709830012)]",0.40891116883453016
group,56,7,post,-3,16,anticlockwise,anticlockwise,correct,1.1431593590004923,ac,770,0,500,solo,1.1361651020015415,sg,6.0,1.6730007420010224,6,"[(6, 0.00048457600132678635), (6, 1.6739779580002505)]",0.5866932779576312
group,56,8,post,3,8,anticlockwise,clockwise,wrong,1.3551532700003008,ca,550,0,500,group,2.5876744229990436,sg,4.0,3.050886529001218,2,"[(2, 0.00048169900037464686), (3, 2.37996121300057), (4, 2.603828331000841), (4, 3.05179032200067)]",0.5643949534838987
group,56,9,post,3,64,clockwise,clockwise,correct,0.9170269000005646,ac,590,-10,500,group,4.230919691000963,gs,1.0,1.9078264449999551,4,"[(4, 0.0004859529999521328), (3, 0.8047792719989957), (2, 1.1088107659998059), (1, 1.412772961999508), (1, 1.9087001609987055)]",0.5693404733859342
group,56,10,pre,3,64,clockwise,clockwise,correct,0.8252339220016438,ac,850,0,500,solo,4.332373564000591,sg,2.0,1.8227134160006244,1,"[(1, 0.0005067000001872657), (2, 0.9918095939992781), (2, 1.823518940998838)]",0.42577741337848374
group,56,11,post,3,32,clockwise,clockwise,correct,1.6779684170014662,ca,940,0,500,group,1.8733376470008807,gs,2.0,3.1487810680009716,4,"[(4, 0.0004785210003319662), (3, 1.5498911880004016), (2, 1.9497502829999576), (2, 3.1497094339993055)]",0.48016107455614365
group,56,12,post,3,8,clockwise,clockwise,correct,1.2879839560009714,ac,500,-10,500,group,2.923237291000987,gs,5.0,4.525835119000476,3,"[(3, 0.00048007199984567706), (4, 3.582882728000186), (5, 3.9026272390001395), (5, 4.526670164999814)]",0.4469213515609876
