task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group,48,1,post,3,16,clockwise,clockwise,correct,1.2913055540011555,ac,1150,-10,500,solo,0.8148168709994934,gs,5.0,2.3242234179997467,6,"[(6, 0.0003792909992625937), (5, 1.6533107479990576), (5, 2.32524957699934)]",0.4526783015062428
group,48,2,post,-3,64,anticlockwise,anticlockwise,correct,1.4706914519993006,ac,1150,-10,500,group,1.5477571709998301,sg,2.0,1.7315381029984565,4,"[(4, 0.000514753999595996), (3, 1.1085006590001285), (2, 1.2844062929998472), (2, 1.7324542089991155)]",0.4628803718645097
group,48,3,post,3,8,clockwise,clockwise,correct,1.3165962969997054,ca,1150,0,500,solo,0.9508495730005961,sg,5.0,3.36745814599999,6,"[(6, 0.00047849800102994777), (5, 2.504504258000452), (5, 3.3684103400009917)]",0.4934736793036805
group,48,4,post,3,32,anticlockwise,clockwise,wrong,1.2399559040004533,ca,1270,0,500,solo,1.277851164999447,sg,4.0,2.0803098840005987,6,"[(6, 0.0005118729986861581), (5, 1.3772666139993817), (4, 1.5212182629984454), (4, 2.0812254789998406)]",0.4784602536688076
group,48,5,pre,-3,16,anticlockwise,anticlockwise,correct,1.1538202230003662,ac,1270,0,500,group,3.148506109999289,sg,4.0,1.433784797998669,3,"[(3, 0.0004927250010950956), (4, 1.1466129039999942), (4, 1.4344538259992987)]",0.5840326122872953
group,48,6,post,-3,16,anticlockwise,anticlockwise,correct,1.0923839360002603,ac,940,-10,500,solo,0.9900697679986479,gs,5.0,2.653781168999558,6,"[(6, 0.0005098189994896529), (5, 2.046692198000528), (5, 2.6546483959991747)]",0.5997263310934291
group,48,7,post,-3,8,anticlockwise,anticlockwise,correct,1.143974814000103,ca,590,-10,500,solo,1.2165138210002624,sg,6.0,1.7336118140010512,2,"[(2, 0.0005169079995539505), (3, 0.8065847509988089), (4, 0.9984604000001127), (5, 1.1746713839984295), (6, 1.36646264799856), (6, 1.7343031229993358)]",0.5852970118956237
group,48,8,post,3,64,anticlockwise,clockwise,wrong,1.0151845870004763,ca,590,10,500,group,1.8303743680007756,sg,1.0,1.4259612609985197,2,"[(2, 0.0004744769994431408), (1, 0.7708619539989741), (1, 1.4268822880003427)]",0.504574005470411
group,48,9,post,-3,32,anticlockwise,anticlockwise,correct,0.9587620109996351,ca,1040,0,500,solo,1.247252989000117,sg,3.0,1.731676814999446,1,"[(1, 0.0005007140007364796), (2, 1.1244074149999506), (3, 1.3804449470007967), (3, 1.7324646859997301)]",0.5387758328997956
group,48,10,post,3,8,clockwise,clockwise,correct,1.0447785969990946,ca,940,-10,500,solo,1.3133913900001062,sg,5.0,1.0903451470003347,4,"[(4, 0.0004815680003957823), (5, 0.803440486000909), (5, 1.0912663380004233)]",0.5191135527445225
