task,id,trial,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_sure,payoff_risky,payoff_jitter,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
solo,4,1,3,8,clockwise,clockwise,correct,0.5163200349998078,ac,500,590,-10,sure,1.5906814380014112,sr,5.0,0.9259932770000887,3,"[(3, 0.0003694539991556667), (4, 0.41482305899990024), (5, 0.6229906640000991), (5, 0.926827981000315)]",0.515440944555522
solo,4,2,3,16,anticlockwise,clockwise,wrong,0.5558124609997321,ac,500,640,10,risky,1.0047307810000348,sr,6.0,1.4024613559995487,3,"[(3, 0.000503561999721569), (4, 0.5874779869991471), (5, 0.7952365529999952), (6, 1.2113859439996304), (6, 1.4031969679999747)]",0.5825583828614265
solo,4,3,-3,16,clockwise,anticlockwise,wrong,1.063870247999148,ca,500,1540,10,sure,1.8443256680002378,rs,1.0,1.535902100000385,2,"[(2, 0.0004731290009658551), (1, 0.8968358219990478), (1, 1.5368720440001198)]",0.5400406388436932
solo,4,4,-3,32,anticlockwise,anticlockwise,correct,0.8550142280000728,ac,500,1270,-10,risky,0.6192903989995102,rs,4.0,0.9530796189992543,2,"[(2, 0.00047028799963300116), (3, 0.4900819140002568), (4, 0.7940684179993696), (4, 0.9539086410004529)]",0.5835872029885609
solo,4,5,3,32,clockwise,clockwise,correct,0.776800044999618,ca,500,590,-10,sure,1.2164701639994746,rs,2.0,1.0618872220002231,2,"[(2, 0.00046997400022519287), (2, 1.0627572640005383)]",0.5260286029436072
solo,4,6,-3,8,anticlockwise,anticlockwise,correct,0.7540269740002259,ca,500,1040,0,risky,0.6985619440001756,rs,6.0,0.868787641000381,3,"[(3, 0.00047373599954880774), (4, 0.4378803639992839), (5, 0.6138192640009947), (6, 0.7417239970000082), (6, 0.8695378869997512)]",0.4974167372181087
solo,4,7,3,64,clockwise,clockwise,correct,0.47192563400130894,ac,500,1150,0,risky,0.908030021999366,rs,3.0,0.957901755000421,2,"[(2, 0.0004781360003107693), (3, 0.47900237799876777), (3, 0.9587727109992557)]",0.5394693300558926
solo,4,8,-3,64,anticlockwise,anticlockwise,correct,0.5909753710002406,ca,500,850,10,risky,1.2627110310004355,sr,4.0,2.2574737109989655,1,"[(1, 0.0005047889990237309), (2, 0.6106134130004648), (3, 0.7704259530000854), (4, 0.946425709000323), (5, 1.1225121730003593), (6, 1.2824117190011748), (5, 1.6506844260002254), (4, 1.8264407750011742), (4, 2.2583821400003217)]",0.4681180867009009
solo,4,9,3,16,clockwise,clockwise,correct,1.0037241609988996,ca,500,770,-10,sure,0.8269841380006255,rs,1.0,1.4236907869999413,4,"[(4, 0.0005102489994897041), (3, 0.512436503000572), (2, 0.688425559001189), (1, 1.2486987810007122), (1, 1.4246417850008584)]",0.5707995991673226
solo,4,10,-3,64,clockwise,anticlockwise,wrong,0.6239287240005069,ca,500,1270,0,risky,0.7181673320010304,sr,3.0,1.0480555880003521,4,"[(4, 0.0005182839995541144), (3, 0.7930805929991038), (3, 1.0487374499989528)]",0.4423112912372497
solo,4,11,3,32,anticlockwise,clockwise,wrong,0.7392417800001567,ca,500,700,10,sure,1.164587155000845,rs,3.0,0.8833362919995125,6,"[(6, 0.0004862770001636818), (5, 0.3562155330000678), (4, 0.5642730010004016), (3, 0.7079952549993322), (3, 0.8840507889999571)]",0.557362112704332
solo,4,12,-3,16,anticlockwise,anticlockwise,correct,0.5022748009996576,ac,500,1040,-10,risky,0.5693641440011561,sr,6.0,0.48811488399951486,6,"[(6, 0.0005012339988752501), (6, 0.4889074109996727)]",0.5206519148955349
solo,4,13,-3,8,anticlockwise,anticlockwise,correct,0.6882153290007409,ac,500,850,-10,sure,1.1793257259996608,rs,4.0,1.3138829700001224,3,"[(3, 0.0004970890004187822), (4, 1.0428154050005105), (4, 1.3147154279995448)]",0.4083328649962195
solo,4,14,-3,32,anticlockwise,anticlockwise,correct,1.0118908170006762,ac,500,940,-10,risky,1.39392029299961,rs,3.0,0.9279719759997533,3,"[(3, 0.0004688300014095148), (3, 0.9288629439997749)]",0.5125836082887678
solo,4,15,3,64,clockwise,clockwise,correct,0.6243347580002592,ac,500,1040,-10,risky,0.7663513389998116,sr,2.0,1.4296062299999903,1,"[(1, 0.00047144099880824797), (2, 1.2227653830013878), (2, 1.4305089530007535)]",0.5439222353679737
solo,4,16,3,8,clockwise,clockwise,correct,1.222277810000378,ca,500,850,-10,sure,0.7481885260003764,sr,1.0,1.3641640749992803,6,"[(6, 0.000493021998408949), (5, 0.5171833200001856), (4, 0.6611210490009398), (3, 0.8211354980012402), (2, 0.9810092010011431), (1, 1.1411624459997256), (1, 1.3651039200012747)]",0.4419120658416976
solo,4,17,-3,32,anticlockwise,anticlockwise,correct,0.8523745319998852,ca,500,590,10,sure,0.8096461889999773,rs,2.0,1.007707812001172,4,"[(4, 0.00048658600098860916), (3, 0.5929106120001961), (2, 0.800703118000456), (2, 1.0086006860001362)]",0.4967935748546231
solo,4,18,-3,16,anticlockwise,anticlockwise,correct,0.8461822970002686,ca,500,700,10,sure,0.8357757719986694,rs,2.0,1.6881608359999518,3,"[(3, 0.00047473500126216095), (2, 0.7293226469992078), (3, 1.1932008519997908), (2, 1.5450500639999518), (2, 1.6890564269997412)]",0.49108031521966805
solo,4,19,-3,8,anticlockwise,anticlockwise,correct,1.5473166709998623,ac,500,590,10,risky,1.6532460470007209,rs,4.0,1.368104156001209,3,"[(3, 0.00047677500151621643), (4, 1.0330900009994366), (4, 1.3690076820003014)]",0.5042393244498256
solo,4,20,3,64,clockwise,clockwise,correct,2.648977808001291,ca,500,1540,0,risky,1.1737069969985896,rs,2.0,2.1567288230016857,5,"[(5, 0.0004741470002045389), (4, 0.6055121009994764), (3, 0.7975585929998488), (2, 1.293702934999601), (3, 1.5656552269992972), (2, 2.0138525139991543), (2, 2.1575921139992715)]",0.5022160525983865
solo,4,21,3,8,clockwise,clockwise,correct,0.8446422519991756,ca,500,1540,-10,risky,0.8334006479999516,rs,4.0,1.174314060001052,5,"[(5, 0.0005039289990236284), (4, 0.8074214629996277), (4, 1.1751851829994848)]",0.5155961321316997
solo,4,22,3,32,clockwise,clockwise,correct,1.2806160870004533,ca,500,640,0,sure,2.0046653310000693,sr,1.0,1.9472294070001226,1,"[(1, 0.0004794270007550949), (1, 1.9479485480005678)]",0.411952739964713
solo,4,23,-3,64,anticlockwise,anticlockwise,correct,1.3164903670003696,ca,500,640,0,sure,0.8554732430002332,rs,1.0,0.8751880559993879,4,"[(4, 0.000473703001262038), (3, 0.33221940499970515), (2, 0.5080508510000072), (1, 0.6840448689999903), (1, 0.8760545639997872)]",0.4765680283493535
solo,4,24,3,16,clockwise,clockwise,correct,0.6101573169999028,ac,500,550,-10,sure,1.0720914829998947,rs,2.0,1.4519232160000684,5,"[(5, 0.0004955010008416139), (4, 0.5250488410001708), (3, 0.7329479569998512), (2, 0.8929935289997957), (2, 1.4527425060005044)]",0.4236249065306938
solo,4,25,-3,8,anticlockwise,anticlockwise,correct,0.887085936999938,ca,500,1400,-10,risky,0.8103908359989873,sr,5.0,0.9602401760002977,4,"[(4, 0.0004902079999737907), (3, 0.2572978139996849), (4, 0.593130752999059), (5, 0.7371777150001435), (5, 0.9610517399996752)]",0.5353999724043574
