task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group_prac,3,1,post,3,64,clockwise,clockwise,correct,1.1059636299996782,ac,550,0,500,solo,2.572649020999961,gs,4.0,4.684829200999957,1,"[(1, 0.0003645209999376675), (2, 3.373707327999), (3, 3.6137230759995873), (4, 3.9658074709986977), (4, 4.6856400669985305)]",0.4129057296326234
group_prac,3,2,post,-3,64,anticlockwise,anticlockwise,correct,1.7983353079998778,ca,1400,10,500,solo,1.2854413310014934,gs,3.0,1.3526094500011823,3,"[(3, 0.0006543890012835618), (3, 1.3535170810009731)]",0.555205191773642
group_prac,3,3,post,3,32,clockwise,clockwise,correct,0.5380779529987194,ac,1270,-10,500,solo,1.4365790849988116,sg,5.0,2.9528434929998184,3,"[(3, 0.0004912410004180856), (4, 2.0896307209986844), (5, 2.649919127999965), (5, 2.9536435969985178)]",0.46947150893160045
group_prac,3,4,post,-3,8,anticlockwise,anticlockwise,correct,0.9852035730000352,ca,700,10,500,solo,1.3847282530005032,sg,5.0,2.2955611680008587,5,"[(5, 0.00048683699969842564), (5, 2.296586757998739)]",0.5189282440430363
group_prac,3,5,post,3,8,clockwise,clockwise,correct,0.6553259960001014,ac,1150,0,500,solo,0.6829864720002661,gs,5.0,1.5579806989990175,1,"[(1, 0.0005044199988333276), (2, 0.5829987670003902), (3, 0.7747682410008565), (4, 0.9508680420003657), (5, 1.0467972210008156), (5, 1.5588429020008334)]",0.5951784948315817
group_prac,3,6,pre,-3,32,anticlockwise,anticlockwise,correct,2.0030145839991746,ca,1040,10,500,solo,6.876765688999512,gs,4.0,4.873156645999188,3,"[(3, 0.0005077249988971744), (4, 4.55412590800006), (4, 4.8740886069990665)]",0.4347957919009202
group_prac,3,7,post,-3,32,anticlockwise,anticlockwise,correct,0.9929971259989543,ca,850,10,500,solo,1.919835320999482,gs,3.0,2.953739296999629,3,"[(3, 0.0004950229995301925), (3, 2.9547759689994564)]",0.42859290057023125
group_prac,3,8,post,-3,16,clockwise,anticlockwise,wrong,0.4755281260004267,ac,640,0,500,solo,1.054602664999038,sg,4.0,2.5711282739994203,5,"[(5, 0.0004896800001006341), (4, 2.2680938280009286), (4, 2.5719218510002975)]",0.4872850523009624
group_prac,3,9,post,3,16,clockwise,clockwise,correct,1.0070169539994822,ca,590,0,500,solo,1.1978859249993548,sg,3.0,2.2439060550004797,1,"[(1, 0.0004917999995086575), (2, 1.5088961659985216), (3, 1.7328567879994807), (3, 2.2447668989989324)]",0.42139192527002745
