task,id,trial,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_sure,payoff_risky,payoff_jitter,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
solo_prac,40,1,-3,32,anticlockwise,anticlockwise,correct,4.664204708999023,ac,500,1040,10,risky,2.740494220999608,rs,2.0,4.204826912000499,3,"[(3, 0.0003528910001477925), (2, 3.7256890179996844), (2, 4.205613883999831)]",0.45643695752410796
solo_prac,40,2,3,64,anticlockwise,clockwise,wrong,2.4121617450000485,ca,500,640,-10,sure,2.5137762519989337,sr,1.0,5.44320734699977,1,"[(1, 0.000478796999232145), (1, 5.444171891998849)]",0.5084263757961285
solo_prac,40,3,3,8,clockwise,clockwise,correct,2.1258206969996536,ca,500,1400,10,risky,1.998240742001144,rs,6.0,5.5406397489987285,1,"[(1, 0.0004819900004804367), (2, 4.165638967000632), (3, 4.3255102270013595), (4, 4.4855159770013415), (5, 4.64549315899967), (6, 4.80561470199973), (6, 5.541511397999784)]",0.5698527340133206
solo_prac,40,4,3,16,clockwise,clockwise,correct,1.8222126580003533,ac,500,940,10,risky,1.6590034380005818,sr,5.0,3.518717712999205,4,"[(4, 0.00046246900092228316), (5, 2.5597964320004394), (5, 3.519686043000547)]",0.5127039351302507
solo_prac,40,5,3,32,anticlockwise,clockwise,wrong,2.6466031939999084,ac,500,700,0,sure,1.5549000460014213,rs,2.0,1.7221789359991817,2,"[(2, 0.0004737549988931278), (2, 1.7231519069991919)]",0.5291515657268119
solo_prac,40,6,-3,16,anticlockwise,anticlockwise,correct,1.5475913530008256,ac,500,1150,-10,risky,1.5711831389999134,sr,3.0,2.330034902999614,2,"[(2, 0.0004859199998463737), (3, 1.8031546879992675), (3, 2.3308502229992882)]",0.4968494478991536
solo_prac,40,7,-3,8,anticlockwise,anticlockwise,correct,1.190555614000914,ac,500,1270,0,risky,1.6924419429997215,sr,5.0,2.462553415000002,2,"[(2, 0.0004763209999509854), (3, 1.4876661090002017), (4, 1.7756179480002174), (5, 2.063547653000569), (5, 2.4634700560000056)]",0.44583115322786093
solo_prac,40,8,-3,64,clockwise,anticlockwise,wrong,2.0357447170008527,ac,500,770,0,sure,1.5620458070006862,sr,1.0,2.8169096499987063,5,"[(5, 0.0004685179992520716), (4, 1.8576454579997517), (3, 2.0338556169990625), (2, 2.289920691999214), (1, 2.4818504649992974), (1, 2.817731417999312)]",0.4854606775335534
