task,id,trial,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_sure,payoff_risky,payoff_jitter,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
solo_prac,12,1,-3,8,anticlockwise,anticlockwise,correct,3.0684883710000577,ac,500,770,-10,risky,2.264311708000605,rs,6.0,3.875571337999645,5,"[(5, 0.00038260899964370765), (6, 2.7402819419985462), (6, 3.8763398799983406)]",0.4830345185931554
solo_prac,12,2,-3,64,anticlockwise,anticlockwise,correct,3.3750912210016395,ac,500,940,10,sure,1.9834929119988374,rs,2.0,3.5256443380003475,4,"[(4, 0.0004734519989142427), (3, 1.0466741990003356), (2, 1.3666839540001092), (2, 3.526437796999744)]",0.5182703643192847
solo_prac,12,3,3,64,anticlockwise,clockwise,wrong,2.3853289270009554,ac,500,1040,0,sure,3.320163700000194,rs,1.0,4.569621885999368,6,"[(6, 0.00047800299944356084), (5, 1.0345949189995736), (4, 1.4665092159993947), (3, 1.7865386710000166), (2, 2.07450062099997), (1, 2.3625504310002725), (1, 4.570424818999527)]",0.4778733475055284
solo_prac,12,4,3,16,anticlockwise,clockwise,wrong,1.2438118790014414,ca,500,590,10,sure,3.648694686999079,sr,1.0,12.69267842500085,6,"[(6, 0.0004687950004154118), (5, 1.2375520189998497), (4, 1.461533989999225), (3, 1.7174722869985999), (2, 2.021594678999463), (1, 2.5814360019994638), (2, 3.605530284999986), (3, 3.9575570119995973), (2, 4.645541756999592), (1, 6.405657518998851), (2, 7.66959459499958), (3, 8.277492464998431), (4, 8.773629194998648), (3, 9.349656697999308), (2, 9.717508907999218), (1, 10.069543892999718), (1, 12.693508481999743)]",0.4620924271172651
solo_prac,12,5,-3,32,anticlockwise,anticlockwise,correct,1.918159722999917,ca,500,1400,-10,risky,2.824497429000985,rs,3.0,3.5018905670003733,1,"[(1, 0.0004821959992113989), (2, 1.3587738040005206), (3, 2.1589035449997027), (3, 3.502793075000227)]",0.5924380985832434
solo_prac,12,6,-3,16,anticlockwise,anticlockwise,correct,1.3074516550004773,ac,500,1540,10,risky,1.4218637280009716,rs,4.0,3.1158391299995856,1,"[(1, 0.00047526200069114566), (2, 0.7967129420012498), (3, 1.0686729590015602), (4, 1.4205150220004725), (4, 3.116533745000197)]",0.4596589851094713
solo_prac,12,7,3,32,clockwise,clockwise,correct,3.897555472998647,ca,500,1150,0,sure,3.764452564999374,rs,1.0,3.4434306859984645,3,"[(3, 0.0004850489985983586), (2, 0.8841540180001175), (1, 2.5644840959994326), (1, 3.4441201080007886)]",0.41807707603964983
solo_prac,12,8,3,8,clockwise,clockwise,correct,1.092860210001163,ca,500,550,-10,risky,2.2546758570006205,rs,5.0,3.147497944000861,2,"[(2, 0.0005043219989602221), (3, 1.5642136850001407), (4, 1.9004530919992249), (5, 2.2683142599998973), (5, 3.1483907549991272)]",0.42857878235701935
