task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group,1,22,post,-3,16,anticlockwise,anticlockwise,correct,0.6466950929998347,ac,550,-10,500,solo,1.2193873380001605,gs,3,1.4171677490003276,1,"[(1, 0.0004928559992549708), (2, 0.42609907899986865), (3, 0.6660456310000882), (3, 1.418037450999691)]",0.4323031498334248
group,1,23,post,-3,32,anticlockwise,anticlockwise,correct,0.8195405859996754,ac,770,10,500,solo,0.6015302510004403,sg,4,1.5116758710000795,4,"[(4, 0.0004893549994449131), (4, 1.5125571470007344)]",0.594016647039353
group,1,24,post,-3,64,clockwise,anticlockwise,wrong,0.9489455709999675,ca,700,0,500,solo,1.0785881660003724,gs,2,1.825880540000071,1,"[(1, 0.00047045199971762486), (2, 0.3868443909996131), (1, 1.2187073589993815), (2, 1.586739824999313), (2, 1.826721360999727)]",0.40172526890770754
group,1,25,post,3,16,clockwise,clockwise,correct,0.9795722540002316,ac,1040,-10,500,solo,0.9624402459994599,gs,5,2.7381559830000697,6,"[(6, 0.00047964599980332423), (5, 0.7870013440006005), (5, 2.738925458000267)]",0.4006443863816502
group,1,26,post,-3,8,anticlockwise,anticlockwise,correct,1.1633881679999831,ac,850,0,500,solo,0.899285950000376,gs,3,2.0045478189995265,2,"[(2, 0.00047292399995058076), (3, 1.4135589020006591), (3, 2.005394884999987)]",0.5094704912470429
group,1,27,pre,-3,8,anticlockwise,anticlockwise,correct,0.7806844309998269,ca,640,0,500,solo,2.455020229999718,gs,6,2.4989291299998513,4,"[(4, 0.00047883300067042), (5, 1.4119339250000849), (6, 1.9077292789997955), (6, 2.4997995040002934)]",0.5017685544490085
group,1,28,post,-3,8,anticlockwise,anticlockwise,correct,1.3790304159992957,ca,640,0,500,solo,1.1066749629999322,gs,3,1.1002747599995928,2,"[(2, 0.0004834279998249258), (3, 0.6693395169995711), (3, 1.101137531999484)]",0.5852463092264021
group,1,29,post,3,64,clockwise,clockwise,correct,0.9966937180006425,ac,500,-10,500,group,3.8430366140000842,sg,3,2.1434042800001407,2,"[(2, 0.0004792970003109076), (3, 1.3444317049998062), (3, 2.144209993000004)]",0.5734970537139429
group,1,30,post,-3,64,clockwise,anticlockwise,wrong,1.3447886980002295,ca,1040,0,500,solo,0.9297145470000032,sg,1,1.9546455569998216,4,"[(4, 0.00048606899963488104), (3, 0.6116678079997655), (2, 1.4595622060005553), (1, 1.7155950699998357), (1, 1.9554395470004238)]",0.4736750623573851
group,1,31,post,3,8,clockwise,clockwise,correct,0.7934921610003585,ac,550,0,500,solo,1.2482014050001453,gs,6,1.4281892669996523,1,"[(1, 0.0004761359996336978), (2, 0.2932565119999708), (3, 0.48507422800048516), (4, 0.661100377999901), (5, 0.8211024299998826), (6, 1.0292315590004364), (6, 1.429057639000348)]",0.5501874381811861
